Date,AAPL,IBM,MSFT,GOOG
2011-10-03,669099200,9042600,64592500,8982342
2011-10-04,1233677200,9200000,83485400,8348776
2011-10-05,786469600,5851700,94061300,9102190
2011-10-06,812582400,7180900,55111400,6874270
2011-10-07,535458000,6842600,52741600,5733209
2011-10-10,442514800,5784800,41815300,4661808
2011-10-11,605687600,5330500,38826200,5728190
2011-10-12,622286000,5338200,52489800,6379422
2011-10-13,426185200,4399200,43823500,11417837
2011-10-14,573367200,5368200,50947700,17123744
2011-10-17,686044800,8790300,39453300,8046447
2011-10-18,881602400,15729400,52487900,7630093
2011-10-19,1104059600,6708300,42880000,5884976
2011-10-20,549270400,7513800,76300200,6783331
2011-10-21,621244400,8054200,76620600,6807421
2011-10-24,502138000,5890600,56897800,6879490
2011-10-25,430427200,5373100,53554600,5100045
2011-10-26,456304800,5387700,63029900,5767738
2011-10-27,494664800,7057800,74512400,7588939
2011-10-28,322842800,5009800,57712100,5034801
2011-10-31,385501200,4710000,46799000,5134775
2011-11-01,531790000,5881200,61182600,6273627
2011-11-02,327350800,4136600,53533100,4257699
2011-11-03,441386400,4953500,65836100,5359614
2011-11-04,302229200,3237600,36549200,5690851
2011-11-07,270275600,3530800,42589700,6739969
2011-11-08,400442000,4330600,47822500,6081510
2011-11-09,558684000,5494800,62950900,7449819
2011-11-10,744752400,3881600,32514400,5758303
2011-11-11,653786000,3665300,37903000,7983814
2011-11-14,432905200,6038600,34199200,6401304
2011-11-15,430810800,4585300,43874200,5372061
2011-11-16,349210400,4616800,53262800,5236555
2011-11-17,479900400,5840500,70977500,7012787
2011-11-18,371938000,4440900,47626200,6600046
2011-11-21,447980400,5145100,61882500,6025099
2011-11-22,409021200,4178600,49204500,4828631
2011-11-23,428271200,4800900,49099700,4669035
2011-11-25,254760800,2232800,26164600,3136513
2011-11-28,346413200,4524200,46766700,5679007
2011-11-29,375855200,3661600,40917100,3677332
2011-11-30,405938400,7836800,81350900,6819466
2011-12-01,387181200,4858800,48545400,7268342
2011-12-02,379055600,4962200,52293800,8202028
2011-12-05,357210000,5699400,56818400,6418970
2011-12-06,283598000,4144900,46175300,4670441
2011-12-07,304746400,5081700,62667000,4531522
2011-12-08,376356400,4369000,60522200,4844290
2011-12-09,296993200,4847900,53788500,5553137
2011-12-12,301067200,3796100,38945900,4384172
2011-12-13,338928800,5008400,54581100,8086597
2011-12-14,406887600,5057700,47926400,7836664
2011-12-15,256200000,4474500,46213900,4835256
2011-12-16,421478400,11849400,101408100,8952029
2011-12-19,235530400,5039900,52258300,4303069
2011-12-20,337215200,4740100,60767600,4794303
2011-12-21,262948000,9282500,64132500,5014525
2011-12-22,202358800,5052000,35794100,3658261
2011-12-23,269399200,3052300,23205800,2918298
2011-12-27,265076000,2775200,21287200,3224842
2011-12-28,228662000,2872000,29822500,4270347
2011-12-29,215978000,2941600,22616900,3162610
2011-12-30,179662000,3530900,27395700,3577961
2012-01-03,302220800,5646000,64731500,7380561
2012-01-04,260022000,4346700,80516100,5749470
2012-01-05,271269600,4463100,56081400,6590410
2012-01-06,318292800,4897100,99455500,5405987
2012-01-09,394024400,5201200,59706800,11688849
2012-01-10,258196400,5161000,60014400,8824152
2012-01-11,215084800,4110800,65582400,4817992
2012-01-12,212587200,6881000,49370800,3764457
2012-01-13,226021600,5279200,60196100,4631897
2012-01-17,242897200,6003400,72395300,3832913
2012-01-18,276791200,4600600,64860600,5544103
2012-01-19,261738400,8567200,74053500,12657868
2012-01-20,413974400,12849700,165902900,21231885
2012-01-23,306062400,5751700,76078100,6851385
2012-01-24,547638000,5345700,51703300,6134508
2012-01-25,958314000,4359700,59231700,10012790
2012-01-26,323985200,4004700,49102800,6476585
2012-01-27,299709200,3360400,44187700,7262119
2012-01-30,379341200,4359000,51114800,4678471
2012-01-31,391683600,4826800,50572400,4300860
2012-02-01,270046000,5088800,67409900,4658797
2012-02-02,186796400,3907300,52223300,4847502
2012-02-03,286599600,4521700,41838500,6360753
2012-02-06,249412800,3639800,28039700,7386784
2012-02-07,316223600,3433000,39242400,4199883
2012-02-08,407890000,3803800,49659100,3686567
2012-02-09,884214800,3876400,50481600,4546377
2012-02-10,631302000,3391100,44605300,4667831
2012-02-13,517216000,2458800,33319800,3646216
2012-02-14,460398400,3398100,59644000,3620921
2012-02-15,1506120000,4020900,43311300,4869986
2012-02-16,944552000,3525500,94705100,5080773
2012-02-17,535805200,3746500,70036500,4916560
2012-02-21,605595200,3293600,50829900,4980197
2012-02-22,483302400,3275800,49253200,3948746
2012-02-23,568027600,8032700,35034700,4125405
2012-02-24,415072000,3353200,35575400,3885710
2012-02-27,547582000,3758400,34568400,3641398
2012-02-28,600387200,3167400,45230600,5716547
2012-02-29,952011200,5117100,59323600,6297316
2012-03-01,683270000,3560300,77344100,4492175
2012-03-02,431712400,3727400,47314200,3158394
2012-03-05,809124400,6938000,45240000,3198544
2012-03-06,810238800,5214700,51932900,6372597
2012-03-07,798520800,3346900,34340400,2538479
2012-03-08,516457200,3145800,36747400,2701087
2012-03-09,418919200,3178200,34628400,5361220
2012-03-12,407282400,3119700,34073600,3350512
2012-03-13,690855200,4866000,48951700,4508436
2012-03-14,1418844000,4602300,41986900,5895816
2012-03-15,1159718000,3621100,49068300,4888455
2012-03-16,825487600,9637000,65626400,6123868
2012-03-19,901236000,3763200,44789200,4361888
2012-03-20,816662000,3695100,41566800,3092548
2012-03-21,644042000,3329900,37928600,4957713
2012-03-22,623870800,3307800,31749500,4838468
2012-03-23,430488800,3036200,35912200,3894945
2012-03-26,595742000,3418200,36758300,3652038
2012-03-27,607129600,2704500,36274900,4029447
2012-03-28,655460400,3265700,41344800,5096833
2012-03-29,608238400,3403700,37038500,3863025
2012-03-30,731038000,3215200,31749400,4638722
2012-04-02,598351600,3387900,35853600,4585523
2012-04-03,834559600,4091500,42752100,4105130
2012-04-04,572980800,4404000,49455900,3267401
2012-04-05,641298000,3809000,50368600,4654782
2012-04-09,597536800,3326900,31056400,4381763
2012-04-10,889725200,4132900,54131300,4982606
2012-04-11,696614800,3366200,43014000,4414485
2012-04-12,614336800,2929600,38304000,11556354
2012-04-13,859644800,3767000,39749200,16379766
2012-04-16,1050786800,3826600,38124800,11426871
2012-04-17,1025528000,6065500,34361500,6070469
2012-04-18,954531200,10153500,40552900,5359012
2012-04-19,834719200,5762900,54781200,6613898
2012-04-20,1030985200,4758200,106045000,6139727
2012-04-23,966529200,3618800,61398200,4412076
2012-04-24,1076149200,5626300,40871100,3872661
2012-04-25,905777600,4003400,62495500,3655852
2012-04-26,536068400,3302700,40308100,4200686
2012-04-27,406722400,3496900,41419100,3285067
2012-04-30,506144800,2773200,35697200,4832646
2012-05-01,610999200,2715900,43832300,4019610
2012-05-02,427389200,2360300,37385300,3235081
2012-05-03,390549600,2826600,31501300,3750003
2012-05-04,529992400,4023600,57927200,4431348
2012-05-07,460118400,3373400,48641400,4003952
2012-05-08,497252000,3881500,46328300,5374670
2012-05-09,480704000,3742500,50309300,4675058
2012-05-10,333200000,3830500,43839200,3083314
2012-05-11,399546000,2391500,43459300,4214538
2012-05-14,352626400,3029200,40528900,3662477
2012-05-15,476336000,2987400,61822800,4219958
2012-05-16,560896000,5001000,60083700,9706446
2012-05-17,717220000,5626300,48484000,6732742
2012-05-18,732292400,5737100,56205300,11991780
2012-05-21,631106000,3831700,38787900,6173855
